create table email (
nombre varchar(50),
email_address varchar(100));


insert into email (nombre, email_address) values 
('Wanda Maximoff',	'wanda.maximoff@avengers.org'),
('Pietro Maximoff',	'pietro@mail.sokovia.ru'),
('Erik Lensherr',	'fuck_you_charles@brotherhood.of.evil.mutants.space'),
('Charles Xavier',	'i.am.secretely.filled.with.hubris@xavier-school-4-gifted-youngste.'),
('Anthony Edward Stark',	'iamironman@avengers.gov'),
('Steve Rogers',	'americas_ass@anti_avengers'),
('The Vision',	'vis@westview.sword.gov'),
('Clint Barton',	'bul@lse.ye'),
('Natasja Romanov',	'blackwidow@kgb.ru'),
('Thor',	'god_of_thunder-^_^@royalty.asgard.gov'),
('Logan',	'wolverine@cyclops_is_a_jerk.com'),
('Ororo Monroe',	'ororo@weather.co'),
('Scott Summers',	'o@x'),
('Nathan Summers',	'cable@xfact.or'),
('Groot',	'iamgroot@asgardiansofthegalaxyledbythor.quillsux'),
('Nebula',	'idonthaveelektras@complex.thanos'),
('Gamora',	'thefiercestwomaninthegalaxy@thanos.'),
('Rocket',	'shhhhhhhh@darknet.ru');

--usando mi mente de detective, concluí que un email inválido es uno que no tenga el formato "textodemínimouncaracter@textodemínimouncaracter.textodemínimouncaracter"
select nombre, email_address from email e where e.email_address not like '%_@%_.%_';
